assay	cell_id	distil_id	id	pert_dose	pert_dose_unit	pert_id	pert_idose	pert_iname	pert_itime	pert_time	pert_time_unit	pert_type	sig_id
744	GO_screen	A375	0	Sample_009_P1_A09_.GOScreen._A17.sst.rma.gene.full.vs.chp.Signal	0	0	0	0	AT-7519	0	0	0	0	Sample_009_P1_A09_.GOScreen._A17.sst.rma.gene.full.vs.chp.Signal
745	GO_screen	A375	0	Sample_021_P1_B09_.GOScreen._C17.sst.rma.gene.full.vs.chp.Signal	0	0	0	0	AT-7519	0	0	0	0	Sample_021_P1_B09_.GOScreen._C17.sst.rma.gene.full.vs.chp.Signal
746	GO_screen	A375	0	Sample_033_P1_C09_.GOScreen._E17.sst.rma.gene.full.vs.chp.Signal	0	0	0	0	AT-7519	0	0	0	0	Sample_033_P1_C09_.GOScreen._E17.sst.rma.gene.full.vs.chp.Signal
747	GO_screen	A375	0	Sample_045_P1_D09_.GOScreen._G17.sst.rma.gene.full.vs.chp.Signal	0	0	0	0	AT-7519	0	0	0	0	Sample_045_P1_D09_.GOScreen._G17.sst.rma.gene.full.vs.chp.Signal
748	GO_screen	A375	0	Sample_057_P1_E09_.GOScreen._I17_2.sst.rma.gene.full.vs.chp.Signal	0	0	0	0	AT-7519	0	0	0	0	Sample_057_P1_E09_.GOScreen._I17_2.sst.rma.gene.full.vs.chp.Signal
749	GO_screen	A375	0	Sample_069_P1_F09_.GOScreen._K17.sst.rma.gene.full.vs.chp.Signal	0	0	0	0	AT-7519	0	0	0	0	Sample_069_P1_F09_.GOScreen._K17.sst.rma.gene.full.vs.chp.Signal
750	GO_screen	A375	0	Sample_008_P1_A08_.GOScreen._A15.sst.rma.gene.full.vs.chp.Signal	0	0	0	0	Delanzomib	0	0	0	0	Sample_008_P1_A08_.GOScreen._A15.sst.rma.gene.full.vs.chp.Signal
751	GO_screen	A375	0	Sample_020_P1_B08_.GOScreen._C15.sst.rma.gene.full.vs.chp.Signal	0	0	0	0	Delanzomib	0	0	0	0	Sample_020_P1_B08_.GOScreen._C15.sst.rma.gene.full.vs.chp.Signal
752	GO_screen	A375	0	Sample_032_P1_C08_.GOScreen._E15.sst.rma.gene.full.vs.chp.Signal	0	0	0	0	Delanzomib	0	0	0	0	Sample_032_P1_C08_.GOScreen._E15.sst.rma.gene.full.vs.chp.Signal
753	GO_screen	A375	0	Sample_044_P1_D08_.GOScreen._G15.sst.rma.gene.full.vs.chp.Signal	0	0	0	0	Delanzomib	0	0	0	0	Sample_044_P1_D08_.GOScreen._G15.sst.rma.gene.full.vs.chp.Signal
754	GO_screen	A375	0	Sample_056_P1_E08_.GOScreen._I15.sst.rma.gene.full.vs.chp.Signal	0	0	0	0	Delanzomib	0	0	0	0	Sample_056_P1_E08_.GOScreen._I15.sst.rma.gene.full.vs.chp.Signal
755	GO_screen	A375	0	Sample_068_P1_F08_.GOScreen._K15.sst.rma.gene.full.vs.chp.Signal	0	0	0	0	Delanzomib	0	0	0	0	Sample_068_P1_F08_.GOScreen._K15.sst.rma.gene.full.vs.chp.Signal
756	GO_screen	A375	0	Sample_005_P1_A05_.GOScreen._A09.sst.rma.gene.full.vs.chp.Signal	0	0	0	0	Fulvestrant	0	0	0	0	Sample_005_P1_A05_.GOScreen._A09.sst.rma.gene.full.vs.chp.Signal
757	GO_screen	A375	0	Sample_017_P1_B05_.GOScreen._C09.sst.rma.gene.full.vs.chp.Signal	0	0	0	0	Fulvestrant	0	0	0	0	Sample_017_P1_B05_.GOScreen._C09.sst.rma.gene.full.vs.chp.Signal
